,open_ts_time,open_tf_time,open_t_time,wind_ts_p,wind_tf_p,wind_t_p,close_ts_time,close_tf_time,close_t_time,unwind_ts_p,unwind_tf_p,unwind_t_p,diff_ts,diff_tf,diff_t,sum-2-3-1
0,2022-10-14 10:01:02,2022-10-14 10:01:02,2022-10-14 10:01:00,101.19,101.775,101.195,2022-10-14 10:16:00,2022-10-14 10:16:01,2022-10-14 10:16:00,101.19,101.775,101.185,0.0,0.0,0.0049999999999954525,99.99999999990905
1,2022-10-14 10:03:02,2022-10-14 10:03:00,2022-10-14 10:03:00,101.2,101.785,101.205,2022-10-14 10:18:01,2022-10-14 10:18:03,2022-10-14 10:18:02,101.19,101.78,101.185,0.010000000000005116,-0.0049999999999954525,0.015000000000000568,400.00000000048885
2,2022-10-14 10:04:00,2022-10-14 10:04:00,2022-10-14 10:04:00,101.2,101.785,101.205,2022-10-14 10:21:02,2022-10-14 10:21:03,2022-10-14 10:21:02,101.2,101.785,101.195,0.0,0.0,0.005000000000009663,100.00000000019327
3,2022-10-14 10:05:00,2022-10-14 10:05:00,2022-10-14 10:05:00,101.2,101.78,101.2,2022-10-14 10:22:16,2022-10-14 10:22:00,2022-10-14 10:22:01,101.2,101.785,101.195,0.0,0.0049999999999954525,0.005000000000009663,399.9999999999204
4,2022-10-14 10:08:00,2022-10-14 10:08:00,2022-10-14 10:08:00,101.2,101.78,101.205,2022-10-14 10:23:00,2022-10-14 10:23:01,2022-10-14 10:23:00,101.2,101.785,101.19,0.0,0.0049999999999954525,0.010000000000005116,499.99999999982947
5,2022-10-14 10:09:00,2022-10-14 10:09:00,2022-10-14 10:09:00,101.2,101.775,101.2,2022-10-14 10:33:00,2022-10-14 10:33:00,2022-10-14 10:33:00,101.205,101.805,101.225,-0.0049999999999954525,0.030000000000001137,-0.024999999999991473,1100.0000000004206
6,2022-10-14 10:10:02,2022-10-14 10:10:00,2022-10-14 10:10:01,101.2,101.785,101.21,2022-10-14 10:35:02,2022-10-14 10:35:00,2022-10-14 10:35:00,101.205,101.8,101.22,-0.0049999999999954525,0.015000000000000568,-0.01999999999999602,300.0000000002956
7,2022-10-14 10:26:00,2022-10-14 10:26:00,2022-10-14 10:26:00,101.2,101.775,101.195,2022-10-14 10:36:02,2022-10-14 10:36:00,2022-10-14 10:36:00,101.205,101.805,101.22,-0.0049999999999954525,0.030000000000001137,-0.01999999999999602,1200.0000000003297
8,2022-10-14 10:28:01,2022-10-14 10:28:00,2022-10-14 10:28:00,101.205,101.78,101.205,2022-10-14 10:54:00,2022-10-14 10:54:01,2022-10-14 10:54:03,101.205,101.8,101.235,0.0,0.01999999999999602,-0.030000000000001137,599.9999999997385
9,2022-10-14 10:29:02,2022-10-14 10:29:00,2022-10-14 10:29:00,101.21,101.795,101.225,2022-10-14 10:57:06,2022-10-14 10:57:02,2022-10-14 10:57:01,101.2,101.795,101.225,0.009999999999990905,0.0,-0.015000000000000568,99.99999999962483
